user_id,gender,age,id,income
1,Male,55.0,0610b486422d4921ae7d2bf64640c50b,112000.0
3,Male,75.0,78afa995795e4d85b5d9ceeca43f5fef,100000.0
5,Female,68.0,e2127556f4f64592b11af22de27a7932,70000.0
8,Female,65.0,389bc3fa690240e798340f5a15918d5c,53000.0
12,Female,58.0,2eeac8d8feae4a8cad5a6af0499a211d,51000.0
13,Male,61.0,aa4862eba776480b8bb9c68455b8c2e1,57000.0
14,Female,26.0,e12aeaf2d47d42479ea1c4ac3d8286c6,46000.0
15,Male,62.0,31dda685af34476cad5bc968bdb01c53,71000.0
16,Female,49.0,62cf5e10845442329191fc246e7bcea3,52000.0
18,Female,57.0,6445de3b47274c759400cd68131d91b4,42000.0
19,Male,61.0,a448667f336b42c9a66fc5ffd5d73772,40000.0
20,Male,40.0,440cf1fd7580490c971d8c651ed962af,71000.0
21,Female,64.0,4b0da7e80e5945209a1fdddfe813dbe0,100000.0
22,Male,28.730969752503192,c27e0d6ab72c455a8bb66d980963de60,71000.0
24,Female,42.0,f806632c011441378d4646567f357a21,69000.0
25,Male,56.0,d058f73bf8674a26a95227db098147b1,88000.0
27,Male,33.0,c6c9884912c645429f3333f912b55f44,52000.0
28,Male,46.0,7429a044884842d6862f516c38b1156f,59000.0
29,Female,59.0,ebe7ef46ea6f4963a7dd49f501b26779,41000.0
30,Female,67.0,5917d13f6fa04286abdf95f4d5cefb1e,96000.0
31,Female,53.0,d1ede868e29245ea91818a903fec04c6,52000.0
32,Female,22.0,1e9420836d554513ab90eba98552d0a9,70000.0
33,Male,20.43677094967623,868317b9be554cb18e50bc68484749a2,89000.0
34,Female,40.0,f082d80f0aac47a99173ba8ef8fc1909,33000.0
35,Male,69.0,102e9454054946fda62242d2e176fdce,57000.0
37,Female,56.0,8dabe2142cdf4013a6f4786edf8ab00f,68000.0
38,Male,26.0,9f30b375d7bd4c62a884ffe7034e09ee,63000.0
40,Female,75.0,6e014185620b49bd98749f728747572f,40000.0
41,Male,20.0,02c083884c7d45b39cc68e1314fec56c,30000.0
42,Female,45.0,c0d210398dee4a0895b24444a5fcd1d2,33000.0
43,Female,61.0,8b70ca1f5f5a45bdac2ac2f990b71526,98000.0
46,Male,69.0,8e7c7465e98c43d8a01f51e2b5c29542,37000.0
47,Male,54.0,57dd18ec5ddc46828afb81ec5977bef2,80000.0
48,Female,39.0,be8a5d1981a2458d90b255ddc7e0d174,51000.0
49,Male,41.0,3f89b8f80ebc4f94b7074f28071aa8d4,41000.0
50,Male,29.60066532926586,a3b9b4bf115e4564933ea2e4bc936843,48000.0
51,Male,66.0,7584948ea6d04f94b8798624706261c2,38000.0
52,Male,56.0,e9844d5beac04bf8b8d3ad18f7e37fca,52000.0
53,Male,39.0,f247806381704ea58c1b06f60602a6ae,56000.0
55,Female,42.0,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,96000.0
58,Male,22.956328538333793,fe8264108d5b4f198453bbb1fa7ca6c9,93000.0
59,Female,45.0,186d6403f5824c739555b732f4af3f16,48000.0
60,Female,29.0,8a87fda1a6644337b4394a4c3cd0946c,50000.0
61,Female,44.0,b7a66e629b134079a9bc7120c7b9947b,35000.0
62,Female,63.0,ca82e1ebc759402c8ab95c341755bdf1,56000.0
63,Female,36.0,54890f68699049c2a04d415abc25e717,56000.0
64,Male,76.0,ab66a363907e43e9a7cd535f1578245b,47000.0
65,Female,68.0,d3f146b615514c6380b168bb3df5f05b,87000.0
66,Female,75.0,a5a6ef2b78a04ddc9f374dd7c7f60bff,52000.0
67,Female,67.0,2e87ba0fba1a4d1a8614af771f07a94d,76000.0
68,Female,77.0,d8af520c4a8a4c77b921098d7d838c4d,51000.0
69,Female,76.0,39dbcf43e24d41f4bbf0f134157e0e1e,64000.0
70,Female,57.0,b62e66ca4dcf4df39fd522e750a88d81,98000.0
71,Male,53.0,8c7df0c393db488aac3e58b06a7ea5f9,72000.0
72,Male,53.0,3a1242dda16248728e350c4bdeb21972,117000.0
73,Male,53.0,8045834137dc47faa24f2c4547969f33,55000.0
74,Male,61.0,fb98ebe9e3e14afaa5b5db182b00b7ec,112000.0
75,Male,67.0,5cd6577aca5d4b419e452f9f505ffce7,77000.0
76,Male,58.0,99e9a1916821461ebd5d5048dc2dff7d,85000.0
77,Male,46.0,e528ceb341964128aaf58a59733ec2af,36000.0
78,Female,30.0,faf74115a43b4f718f4d4c0de116ee8a,41000.0
79,Female,59.0,0b73997a269247088b2a63355f53ee58,89000.0
81,Female,51.0,f44b44b53c0548d5b27c812fda4c358a,41000.0
82,Female,27.0,6e04a90a0e074496b5f229eb1f553433,35000.0
83,Female,40.0,262ad0fb526a4d53b572007da60cce24,53000.0
85,Male,73.0,a2b7a0b3487a4d779ddf4e11a034e2ee,91000.0
86,Male,74.0,2c5c63e5124e417b8504f76c868a4190,107000.0
87,Female,42.0,9d6da0a2ac54474e8ec986fd21cecef0,66000.0
88,Female,23.71881064313483,571b739ada3041fb8fbd20f23ce034f7,58000.0
89,Male,54.0,816afd4505d047cf893275fbfe825590,53000.0
90,Male,70.0,13b7b2eccf664a329d83d2a238a9a11d,74000.0
91,Male,49.0,68eee228713c429ebe1300155ad1fb33,57000.0
92,Male,62.0,ffc6c9fbe34b4578911dcdf6745b4c74,57000.0
93,Female,64.0,cbebad9819494b479dbf0c1207b4c0c5,70000.0
94,Male,22.40015025536135,4264b1d027cc493281bba4f44bfedaca,87000.0
95,Female,73.0,0ba6e2ad781c4429afd26cf0b35f2d11,51000.0
97,Male,50.0,b5abc1e85be84f43937b4fca0ad238cb,93000.0
98,Male,25.766592645046376,1c587de019994f93a242c6864fd7bc55,98000.0
99,Male,68.0,3f4e408b0b2d4ea89dd16d7437d867c1,84000.0
100,Female,60.0,13bda8fbd70a4814b956df1d55320398,64000.0
101,Female,45.0,b19c8e7ac2ff40ae92b4fcf3247f8912,54000.0
102,Female,66.0,21c73d53e2a74bb1b4dc172bff2b1aad,49000.0
105,Male,19.0,1abeb816d9fa49b4b5b5ae51bc3d24c3,73000.0
106,Male,66.0,92e07c49ee7448fca6e48df0c96e3eec,58000.0
107,Male,72.0,f8aedd0cbea0419c806842b4265b82e5,72000.0
109,Female,76.0,a9780228a1d04539afdee8b745e4be10,63000.0
110,Female,52.0,94f14dcfedba47e18b7efca13dd7574b,78000.0
111,Female,55.0,8a4bc602e4424ab6b16f0b907f2f22af,31000.0
112,Male,39.0,6d28f18e91324d358d69d1e4b01f1ace,60000.0
113,Male,45.0,52f0bd64403f4958ab8fe9a6947c13c3,44000.0
114,Male,57.0,93e67942586e43fb87d5ffb1ead8db41,114000.0
115,Female,74.0,e641af076cc54529bec6ab61fc25f4a6,48000.0
116,Female,18.0,716a961d2afb4c1d8307522a8cbb4f07,47000.0
117,Female,53.0,13033baa9d294c3c9165a00d71b72614,96000.0
118,Male,59.0,15953663abf54181adf1fd4c39442b85,98000.0
119,Female,57.0,0ac5ffb0f1624297a453494b845e1a91,46000.0
120,Male,51.0,1a353048b0884fc5a0afa27677ef1e80,56000.0
123,Male,64.0,2cf5895bddf9467e878c6d51a622d5fb,37000.0
124,Female,71.0,6747dda08bed46298c23e05b64820a3a,57000.0
125,Male,64.0,f35b342b24734da18a830bb9329a4fbd,66000.0
126,Female,25.264085902773154,4c29d22467af4d7faa137c4eedd65340,46000.0
127,Female,26.0,e997a086fc13446da2aa9070d98d191a,71000.0
129,Male,29.0,17af917bb842480e925e49a8ca08c1f8,58000.0
130,Female,43.0,bf8d7498eb32431ab3fedaa14b7d3a0d,70000.0
131,Male,21.62655354565781,3dae0eadb47149b0b9b548d14548524b,65000.0
132,Male,49.0,5404741ead9442bdbd4b9aa2273e85af,79000.0
133,Female,27.130253300093013,81e9ad5fa55a4884b65e01a5db8f1b4e,67000.0
134,Male,55.0,b2f1cd155b864803ad8334cdf13c4bd2,94000.0
